,Team,Elo
81,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Kyurem_Life Orb Attacker, Magmortar_Assault Vest Tank, Porygon2_Offensive, Blastoise-Mega_Rapid Spin",1227.260622185704
82,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Abomasnow-Mega_President Snow (Mixed Attacker), Sceptile_Life Orb, Basculin_All-out Attacker, Flareon_Offensive",925.5330962392206
83,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Kyurem_SubRoost, Gastly_Hex, Clefable_Unaware + Calm Mind, Tyrantrum_Wallbreaker",1090.1752269928047
84,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Talonflame_Bulky Swords Dance, Rotom-Frost_SubWisp, Banette-Mega_Prankster, Garchomp_Mixed Attacker",904.7707579063772
85,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Noivern_Taunt + Roost, Cherrim_Offensive Healing Wish, Venusaur_Chlorophyll Sweeper, Furret_Choice Scarf",955.9506077461392
86,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Pidgeot-Mega_Stallbreaker, Kyurem_Life Orb Attacker, Diancie_Defensive, Skrelp_Special Attacker",1112.7080114156174
87,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Staraptor_Choice Scarf, Jellicent_Physically Defensive, Raikou_Choice Specs, Diancie-Mega_Offensive",1209.4891627442314
88,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Glameow_Life Orb Attacker, Haxorus_Choice Band, Meloetta_Choice Specs, Hoopa_Offensive Trick Room",1178.3788634888563
89,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Meowstic-F_Competitive(ly Terrible) Sweeper, Haxorus_Stallbreaker, Kingdra_Rain Sweeper, Zoroark_Swords Dance",1080.7812200857688
90,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Qwilfish_Swift Swim, Staraptor_Choice Band, Altaria_Physically Defensive, Heracross_Swords Dance",857.535317661957
91,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Grumpig_Offensive Utility, Aerodactyl-Mega_Bulky Aerodactyl, Porygon-Z_Choice Specs, Hydreigon_Life Orb",1064.7560151777197
92,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Donphan_Choice Band, Gallade-Mega_Swords Dance, Swellow_Guts Attacker, Kyurem_Life Orb Attacker",1122.6025870821259
93,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Spiritomb_Offensive Support, Entei_Choice Band, Emboar_Footloose, Doduo_Choice Scarf",1091.743615322066
94,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Skiddo_Bulk Up, Mantine_Mixed Defensive Defog, Magmortar_Assault Vest Tank, Mesprit_Physically Defensive",911.4208470152288
95,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Heracross_Swords Dance, Chatot_Choice Scarf, Altaria_Choice Specs, Xatu_Calm Mind",887.2119042802415
96,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Dusknoir_Offensive, Froslass_Spikes Lead, Garchomp_Substitute + Swords Dance, Scyther_Swords Dance",991.1123698267439
97,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Sharpedo-Mega_Cleaner, Mesprit_Offensive + 3 Attacks, Golurk_Wallbreaker, Malamar_RestTalk",1009.7296341367598
98,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Raikou_Calm Mind, Clefable_Stealth Rock Setter, Audino-Mega_Calm Mind, Tornadus-Therian_Assault Vest Pivot",1124.8880357373564
99,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Mothim_Choice Specs, Gligar_Standard, Sigilyph_Life Orb Attacker, Audino-Mega_Defensive Calm Mind",728.0946595035933
100,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Tornadus_Bulk Up, Furret_Choice Scarf, Seaking_Utility, Trevenant_Wallbreaker",812.4972847130176
101,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Suicune_SubCM, Hypno_NastyPass, Illumise_Substitute + Baton Pass, Mesprit_Physically Defensive",650.787246667386
102,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Alakazam_Life Orb, Altaria_Physically Defensive, Fletchling_Mixed Sweeper, Thundurus_Mixed Attacker",935.2322388378593
103,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Articuno_Burd (Offensive), Espeon_Calm Mind Sweeper, Mesprit_Offensive Stealth Rock, Slowking_Defensive Sweeper",909.9592230969398
